Issue Date          2013-03-16T00:00:00Z
Flags:  0=Forecast, 1=Estimated, 2=Observed 

 Date_Time                   F10          Kp     F10Flag      KpFlag  F10_81dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz   
2013-03-16T00:31:00Z 122.9895833   2.5461111           2           1 111.4750069   1.6588889  11.2416667           4  11.2416667           4   2.6202022 142.1920129 438.8740000  -2.0701420
2013-03-16T00:32:00Z 122.9916667   2.5588889           2           1 111.4751166   1.6591667  10.2333333           4  10.2333333           4   3.2415628 141.2957268 436.7099000  -2.5296630
2013-03-16T00:33:00Z 122.9937500   2.5716667           2           1 111.4752263   1.6594444   9.2250000           3   9.2250000           3   3.8137054 150.3108677 444.0774000  -3.3130630
2013-03-16T00:34:00Z 122.9958333   2.5844444           2           1 111.4753361   1.6597222   8.2166667           3   8.2166667           3   3.4498510 148.6868113 443.6363000  -2.9473430
2013-03-16T00:35:00Z 122.9979167   2.5972222           2           1 111.4754458   1.6600000   7.2083333           3   7.2083333           3   2.8348605 141.1725145 440.3482000  -2.2084620
2013-03-16T00:36:00Z 123.0000000   2.6100000           2           1 111.4755556   1.6602778  18.3000000           6  18.3000000           6   3.5720872 138.0846136 427.3085000  -2.6581050
2013-03-16T00:37:00Z 123.0020833   2.6227778           2           1 111.4756653   1.6605555  12.7000000           5  12.7000000           5   3.7444184 131.0283403 410.5805000  -2.4579570
2013-03-16T00:38:00Z 123.0041667   2.6355556           2           1 111.4757750   1.6608333  15.5000000           5  15.5000000           5   3.9327558 133.8689910 447.8012000  -2.7254460
2013-03-16T00:39:00Z 123.0062500   2.6483333           2           1 111.4758848   1.6611111   9.9000000           5   9.9000000           5   1.7049257 132.5779427 408.4482000  -1.1535400
2013-03-16T00:40:00Z 123.0083333   2.6611111           2           1 111.4759945   1.6613889   8.9000000           4   8.9000000           4   2.2318854 138.6930993 428.5984000  -1.6765580
2013-03-16T00:41:00Z 123.0104167   2.6738889           2           1 111.4761043   1.6616667   7.9000000           4   7.9000000           4   2.2876782 133.8670150 427.3451000  -1.5853310
2013-03-16T00:42:00Z 123.0125000   2.6866667           2           1 111.4762140   1.6619444  25.0562500           6  25.0562500           6   2.3231035 134.8693765 433.8195000  -1.6389330
2013-03-16T00:43:00Z 123.0145833   2.6994444           2           1 111.4763237   1.6622222  23.9125000           6  23.9125000           6   2.3832865 153.3784937 430.8996000  -2.1306250
2013-03-16T00:44:00Z 123.0166667   2.7122222           2           1 111.4764335   1.6625000  22.7687500           6  22.7687500           6   2.3741565 167.6540756 439.8391000  -2.3192530
2013-03-16T00:45:00Z 123.0187500   2.7250000           2           1 111.4765432   1.6627778  21.6250000           6  21.6250000           6   3.1193630 169.5958867 440.6717000  -3.0680760
2013-03-16T00:46:00Z 123.0208333   2.7377778           2           1 111.4766529   1.6630556  20.4812500           6  20.4812500           6   4.4039133 180.2017655 444.0295000  -4.4038860
2013-03-16T00:47:00Z 123.0229167   2.7505556           2           1 111.4767627   1.6633333  19.3375000           5  19.3375000           5   4.0550909 172.8486007 434.3694000  -4.0235450
2013-03-16T00:48:00Z 123.0250000   2.7633333           2           1 111.4768724   1.6636111  18.1937500           5  18.1937500           5   2.5657256 144.1107944 426.1208000  -2.0786280
2013-03-16T00:49:00Z 123.0270833   2.7761111           2           1 111.4769822   1.6638889  17.0500000           5  17.0500000           5   2.5023533 158.0946504 428.9435000  -2.3216870
2013-03-16T00:50:00Z 123.0291667   2.7888889           2           1 111.4770919   1.6641667  15.9062500           5  15.9062500           5   3.3340368 162.0813487 438.8618000  -3.1723170
2013-03-16T00:51:00Z 123.0312500   2.8016667           2           1 111.4772016   1.6644444  14.7625000           5  14.7625000           5   3.1809093 162.5476157 449.4070000  -3.0344810
